category,message,uz-UZ,oz-UZ,ru-RU,en-US,kk-UZ,tg-TG,kz-KZ,tm-TM,kg-KG
app,#,№,№,№,,,,,,
app,"0% lik grant",Kontrakt,Контракт,Контракт,Contract,,,,,
app,1-bosqich,1-bosqich,1-босқич,1-год,,,,,,
app,"1-ON, 2-ON, ...; 1-JN, 2-JN, ..., 1-qaydnoma, 2-qaydnoma,...","1-ON, 2-ON, ...; 1-JN, 2-JN, ..., 1-qaydnoma, 2-qaydnoma,...","1-ОН, 2-ОН, ...; 1-ЖН, 2-ЖН, ..., 1-қайднома, 2-қайднома,...","1-ПК, 2-ПК, ...; 1-ТК, 2-ТК, ..., 1-ведомость, 2-ведомость,...",,,,,,
app,"1-qaydnoma, 2-qaydnoma,...","1-qaydnoma, 2-qaydnoma,...","1-қайднома, 2-қайднома,...","1-ведомость, 2-ведомость,...",,,,,,
app,2-bosqich,2-bosqich,2-босқич,2-год,,,,,,
app,2-resubmission,1-QT,1-ҚТ,1-ПС,,,,,,
app,3-bosqich,3-bosqich,3-босқич,3-год,,,,,,
app,3-resubmission,2-QT,2-ҚТ,2-ПС,,,,,,
app,"A Base Stipend Scholarship has not been determined","Bazaviy stipendiya turi qiymati belgilanmagan","Базавий стипендия тури қиймати белгиланмаган","Сумма базовой стипендии не определена","A Base Stipend Scholarship has not been determined",,,,,
app,"About HEI",Muassasa,Муассаса,Учреждение,,,,,,
app,"Absent off",Sababsiz,Сабабсиз,Неуважительное,,,,,,
app,"Absent Off",Sababsiz,Сабабсиз,Неуваж.,,,,,,
app,"Absent Off Hour","Qoldirdi (S/SZ)","Қолдирди (С/СЗ)","Пропуск (У/НЕУ)","Absence (S/SZ)",,,,,
app,"Absent Off Percent",Foiz,Фоиз,Процент,Percent,,,,,
app,"Absent On",Sababli,Сабабли,Уваж.,,,,,,
app,"Absent Percent","Davomat %","Давомат %",Посещение,Attendance,,,,,
app,"Absents Count",Davomat,Давомат,Посещаемость,Attendance,,,,,
app,"Acad. Debtor",O'zlashtirdi,Ўзлаштирди,Освоил,Mastered,,,,,
app,"Academic Data","REYTING DAFTARCHA","РЕЙТИНГ ДАФТАРЧА","РЕЙТИНГОВАЯ КНИЖКА","ACADEMIC SHEET",,,,,
app,"Academic Data Status","Akademik ma'lumot statusi","Академик маълумот статуси","Статус академической информации","Academic Data Status",,,,,
app,"Academic Debt",O'zlashtirdi,Ўзлаштирди,Освоил,Mastered,,,,,
app,"Academic Debtor","Akademik qarzdor","Академик қарздор","Акад. задолженность","Academic Debtor",,,,,
app,"Academic Degree","Ilmiy daraja","Илмий даража","Ученая степень",,,,,,
app,"Academic Degrees","O'qituvchi ilmiy darajasi","Ўқитувчи илмий даражаси","Ученая степень преподавателя","Teacher Academic Degrees",,,,,
app,"Academic groups","Akademik guruhlar","Академик гуруҳлар","Академические группы","Academic groups",,,,,
app,"Academic Information","Akad. ma'lumotnoma","Акад. маълумотнома","Акад. справка","Academic Information",,,,,
app,"Academic Information Data","Akademik ma'lumotnoma parametrlari","Академик маълумотнома параметрлари","Параметры академической справки","Parametrs of Academic Sheet",,,,,
